Year,Date.Sampled,Plot.Type,Plot,Regen.Plot,Species,Category,Count,Height.Class,Cover.%,DBH.cm,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UR,Multi-flora rose,Shrub,3,NA,1-5,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Spicebush,Shrub,4,NA,1-5,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Multi-flora rose,Shrub,6,NA,1-5,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Japanese barberry,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Japanese barberry,Shrub,15,NA,5-10,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Asian bittersweet,Shrub,1,NA,<1,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Poison ivy,Shrub,1,NA,<1,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,UL,Virginia creeper,Shrub,1,NA,<1,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Rubus sp.,Shrub,3,NA,<1,NA,,,,,,,,,,,,,
2022,6/16/2022,Ash,4,BC,Spicebush,Shrub,1,NA,<1,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,BC,American beech,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,UR,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,UL,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,BC,American beech,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,BC,American beech,Seedling,4,30-100,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,UR,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,UL,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/13/2018,Hemlock,5,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,UL,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/21/2022,Hemlock,5,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UR,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UL,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,NA,Sapling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UR,Red maple,Seedling,7,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UR,Hickory sp.,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UR,Chestnut oak,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,Hop hornbeam,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,Chestnut oak,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,Red maple,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,Sugar maple,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,White ash,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,BC,Sugar maple,Seedling,11,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,BC,Chestnut oak,Seedling,5,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,BC,White ash,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,BC,Red maple,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UR,White ash,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,White ash,Seedling,2,30-100,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UR,Red oak,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UR,Chestnut oak,Seedling,4,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UR,Sugar maple,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UR,White ash,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,Sugar maple,Seedling,7,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,Chestnut oak,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,White ash,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,Red maple,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UL,Chestnut oak,Seedling,2,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UL,White ash,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UL,Hop hornbeam,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,Chestnut oak,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,White ash,Seedling,2,30-100,NA,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UL,Virginia creeper,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,BC,Spicebush,Shrub,1,NA,1-5,NA,,,,,,,,,,,,,
2018,6/18/2018,Hemlock,6,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UL,Rubus sp.,Shrub,2,NA,1-5,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,UR,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2022,7/1/2022,Hemlock,6,BC,NA,Shrub,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UR,Witch hazel,Sapling,1,NA,NA,6.0,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Witch hazel,Sapling,1,NA,NA,6.8,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Eastern hemlock,Sapling,1,NA,NA,4.8,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Eastern hemlock,Sapling,1,NA,NA,6.9,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,BC,Eastern hemlock,Sapling,1,NA,NA,4.5,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,BC,Eastern hemlock,Sapling,1,NA,NA,9.1,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,BC,Eastern hemlock,Sapling,1,NA,NA,5.3,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,BC,Eastern hemlock,Sapling,1,NA,NA,8.2,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,Witch hazel,Sapling,1,NA,NA,8.1,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,Witch hazel,Sapling,1,NA,NA,1.9,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,Witch hazel,Sapling,1,NA,NA,3.6,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,BC,Eastern hemlock,Sapling,1,NA,NA,5.5,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,BC,Eastern hemlock,Sapling,1,NA,NA,9.5,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,BC,Snag,Sapling,1,NA,NA,4.2,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UL,Eastern hemlock,Sapling,1,NA,NA,6.7,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UL,Witch hazel,Sapling,1,NA,NA,7.0,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UR,Black birch,Seedling,22,15-30,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UR,Eastern hemlock,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UR,White pine,Seedling,3,15-30,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Black birch,Seedling,10,15-30,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Red maple,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Eastern hemlock,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,BC,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,White pine,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,Hop hornbeam,Seedling,16,15-30,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,Eastern hemlock,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UL,Witch hazel,Seedling,1,15-30,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UL,Hop hornbeam,Seedling,11,15-30,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UR,White pine,Seedling,1,30-100,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,UL,Witch hazel,Seedling,4,30-100,NA,NA,,,,,,,,,,,,,
2022,6/24/2022,Hemlock,7,BC,NA,Seedling,0,NA,NA,NA,,,,,,,,,,,,,
2018,6/22/2018,Hemlock,7,UL,Witch hazel,Shrub,4,NA,1-5,NA,,,,,,,,,,,,,
