Year,Date.Sampled,Plot.Type,Plot,Tree_#,Quarter,Fork,Species,DBH,Unusual,Status,Crown.Class,Tree.Cond,HWA.Index,EAB.Index,BBD.Index,Foliage.Cond_1,Total.Foliage%_1,Foliage.Cond%_1,Foliage.Cond_2,Total.Foliage%_2,Foliage.Cond%_2,Foliage.Cond_3,Total.Foliage%_3,Foliage.Cond%_3,Decay.Index,Notes
2018,5/29/2018,Hemlock,1,6,NA,N,Eastern hemlock,23.0,N,DS,NA,NA,3,NA,NA,Leaf loss,10-50,90-100,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,6,NA,N,Eastern hemlock,22.9,N,DS,NA,NA,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,7,NA,N,Eastern hemlock,20.7,N,AS,Intermediate,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2022,6/2/2022,Hemlock,1,7,NA,N,Eastern hemlock,20.4,N,AL,Intermediate,HWA/EHS,NA,NA,NA,Holes,90-100,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,8,NA,N,Eastern hemlock,29.5,N,DS,NA,NA,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,8,NA,N,Eastern hemlock,29.8,N,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2018,5/29/2018,Hemlock,1,9,NA,N,Chestnut oak,28.7,N,AS,Dominant,Healthy,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,9,NA,N,Chestnut oak,30.6,N,AS,Dominant,Spongy moth,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,10,NA,N,Chestnut oak,39.3,N,AS,Dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/2/2022,Hemlock,1,10,NA,N,Chestnut oak,39.5,N,AS,Dominant,Large dead branches,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,11,NA,N,Red oak,12.0,N,AS,Co-dominant,Healthy,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,11,NA,N,Red oak,13.0,N,AS,Intermediate,Healthy,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,12,NA,N,White oak,33.6,N,AS,Dominant,Insect damage,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,12,NA,N,White oak,34.8,N,AS,Dominant,Large dead branches,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,13,NA,N,Red oak,11.5,N,AS,Intermediate,Insect damage,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,13,NA,N,Red oak,11.8,N,AS,Intermediate,Large dead branches/Other,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,14,NA,N,Pignut hickory,36.4,N,AS,Dominant,Insect damage,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,14,NA,N,Pignut hickory,36.9,N,AS,Dominant,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,15,NA,N,Eastern hemlock,11.5,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,15,NA,N,Eastern hemlock,11.1,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,5/29/2018,Hemlock,1,16,NA,N,White ash,33.8,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/2/2022,Hemlock,1,16,NA,N,White ash,33.8,N,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2018,6/6/2018,Hemlock,2,1,C,N,Red oak,23.4,N,AS,Co-dominant,Healthy,NA,NA,NA,Holes,10-50,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,1,C,N,Red oak,24.5,N,AS,Co-dominant,Cankers/Wounds/Large dead branches,NA,NA,NA,Holes,10-50,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,2,D,N,Eastern hemlock,19.7,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Holes,10-50,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,2,D,N,Eastern hemlock,19.5,N,AS,Intermediate,HWA/EHS/Cankers/Wounds,NA,NA,NA,Holes,10-50,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,3,A,N,Eastern hemlock,10.4,N,AS,Intermediate,HWA/EHS,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,3,A,N,Eastern hemlock,10.5,N,AS,Intermediate,HWA/EHS,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,4,A,N,Eastern hemlock,26.1,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Necrosis,50-90,10-50,Holes,10-50,10-50,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,4,A,N,Eastern hemlock,26.4,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Necrosis,50-90,10-50,Holes,1-10,1-10,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,5,A,N,Eastern hemlock,11.4,N,AL,Co-dominant,HWA/EHS,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2022,6/8/2022,Hemlock,2,5,A,N,Eastern hemlock,10.9,N,AL,Intermediate,HWA/EHS,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2018,6/6/2018,Hemlock,2,6,A,N,Eastern hemlock,12.6,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Holes,10-50,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,6,A,N,Eastern hemlock,12.2,N,AS,Intermediate,HWA/EHS,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2018,6/6/2018,Hemlock,2,7,B,N,Eastern hemlock,11.2,N,AS,Intermediate,HWA/EHS,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2022,6/8/2022,Hemlock,2,7,B,N,Eastern hemlock,11.2,N,AS,Intermediate,HWA/EHS,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,8,B,N,Eastern hemlock,11.4,N,AS,Sub-canopy,HWA/EHS,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,8,B,N,Eastern hemlock,10.9,N,DB,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,9,B,N,Eastern hemlock,11.8,N,AS,Intermediate,HWA/EHS,NA,NA,NA,Holes,10-50,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,9,B,N,Eastern hemlock,11.7,N,AS,Intermediate,HWA/EHS,NA,NA,NA,Holes,1-10,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,10,B,N,Chestnut oak,46.7,N,AS,Dominant,Healthy,4,NA,NA,Leaf loss,50-90,NA,Chlorosis,50-90,10-50,Necrosis,50-90,10-50,NA,NA
2022,6/8/2022,Hemlock,2,10,B,N,Chestnut oak,47.9,N,AS,Dominant,Cankers/Wounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/6/2018,Hemlock,2,11,B,N,Eastern hemlock,25.3,N,AS,Co-dominant,HWA/EHS,NA,2,NA,Chlorosis,10-50,10-50,Leaf loss,10-50,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,11,B,N,Eastern hemlock,25.8,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/6/2018,Hemlock,2,12,B,N,Chestnut oak,27.3,N,DL,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,12,B,N,Eastern hemlock,NA,NA,DF,NA,NA,NA,2,NA,Leaf loss,10-50,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,13,B,N,Eastern hemlock,24.5,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,13,B,N,Eastern hemlock,24.4,N,AS,Co-dominant,HWA/EHS,NA,NA,1,Necrosis,1-10,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,14,C,N,Eastern hemlock,11.3,N,DB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2022,6/8/2022,Hemlock,2,14,C,N,Eastern hemlock,10.6,N,DS,NA,NA,4,NA,NA,Leaf loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,15,C,N,Eastern hemlock,12.0,N,AS,Intermediate,HWA/EHS,4,NA,NA,Leaf loss,10-50,NA,Necrosis,10-50,10-50,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,15,C,N,Eastern hemlock,10.7,N,AS,Intermediate,HWA/EHS,4,NA,NA,Leaf loss,50-90,NA,Necrosis,50-90,10-50,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,16,C,N,Chestnut oak,40.5,N,AS,Dominant,Healthy,NA,NA,NA,Holes,1-10,1-10,Necrosis,1-10,1-10,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,16,C,N,Chestnut oak,41.0,N,AS,Dominant,Large dead branches,4,NA,NA,Leaf loss,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,17,C,N,Eastern hemlock,58.5,N,AS,Dominant,HWA/EHS,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,17,C,N,Eastern hemlock,NA,NA,NL,NA,NA,4,NA,NA,Leaf loss,10-50,NA,Necrosis,10-50,10-50,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,18,D,A,Chestnut oak,45.3,N,AS,Dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/8/2022,Hemlock,2,18,D,A,Chestnut oak,46.5,N,AS,Dominant,Large dead branches,4,NA,NA,Leaf loss,10-50,NA,Necrosis,10-50,10-50,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,19,D,A,Chestnut oak,36.5,N,AS,Dominant,Healthy,NA,NA,NA,Necrosis,1-10,1-10,Chlorosis,1-10,90-100,Holes,1-10,10-50,NA,NA
2022,6/8/2022,Hemlock,2,19,D,A,Chestnut oak,37.1,N,AS,Dominant,Large dead branches,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,20,D,N,Red oak,16.4,N,AS,Dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/8/2022,Hemlock,2,20,D,N,Red oak,17.2,N,AS,Co-dominant,Cankers/Wounds,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,21,D,N,Red maple,15.3,N,AS,Co-dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/8/2022,Hemlock,2,21,D,N,Red maple,15.4,N,AS,Co-dominant,Large dead branches,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/6/2018,Hemlock,2,22,D,N,Chestnut oak,33.7,N,AS,Dominant,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/8/2022,Hemlock,2,22,D,N,Chestnut oak,34.3,N,AS,Dominant,Cankers/Wounds/Large dead branches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/8/2018,Hemlock,3,1,A,N,White oak,45.6,N,AS,Dominant,Insect damage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2022,6/10/2022,Hemlock,3,1,A,N,White oak,47.8,N,AS,Dominant,Insect damage/Large dead branches,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,2,A,N,Red oak,54.7,N,AS,Dominant,Insect damage,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,2,A,N,Black oak,55.4,Y,AS,Dominant,Insect damage/Large dead branches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/8/2018,Hemlock,3,3,A,N,Red maple,13.9,N,AS,Intermediate,Healthy,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,3,A,N,Red maple,15.0,N,AS,Co-dominant,Insect damage,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,4,B,N,Eastern hemlock,46.6,N,DL,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,4,B,N,Eastern hemlock,47.7,N,DS,NA,NA,NA,NA,NA,Necrosis,50-90,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,5,B,N,Eastern hemlock,41.8,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,5,B,N,Eastern hemlock,39.2,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,6,C,N,Eastern hemlock,55.2,N,AS,Dominant,HWA/EHS,NA,NA,NA,Necrosis,1-10,10-50,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,6,C,N,Eastern hemlock,56.8,N,AS,Dominant,HWA/EHS,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,7,C,N,Eastern hemlock,35.9,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,7,C,N,Eastern hemlock,35.7,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,8,C,N,Eastern hemlock,47.9,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,8,C,N,Eastern hemlock,NA,N,DF,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,9,D,N,Red maple,13.0,N,AS,Co-dominant,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/10/2022,Hemlock,3,9,D,N,Red maple,13.4,N,AS,Intermediate,Large dead branches,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/8/2018,Hemlock,3,10,D,N,Red oak,54.6,N,AS,Dominant,Insect damage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
2022,6/10/2022,Hemlock,3,10,D,NA,Red oak,NA,NA,NL,NA,NA,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/11/2018,Ash,4,1,A,N,White ash,25.4,N,AS,Dominant,EAB,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,1,A,N,White ash,NA,N,DF,NA,NA,NA,NA,NA,Holes,10-50,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/11/2018,Ash,4,2,A,N,White ash,19.0,N,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/16/2022,Ash,4,2,A,N,White ash,19.2,N,DS,NA,NA,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/11/2018,Ash,4,3,A,N,White ash,31.3,N,AS,Dominant,EAB,NA,NA,NA,Holes,50-90,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,3,A,N,White ash,31.7,N,DS,NA,NA,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/11/2018,Ash,4,4,B,N,Yellow birch,33.5,N,AS,Co-dominant,Healthy,3,NA,NA,Leaf loss,10-50,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,4,B,N,Yellow birch,35.0,N,AS,Dominant,Healthy,NA,NA,NA,Holes,10-50,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/11/2018,Ash,4,5,C,N,White ash,26.2,N,DS,NA,NA,3,NA,NA,Leaf loss,10-50,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,5,C,N,White ash,26.2,N,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2018,6/11/2018,Ash,4,6,C,N,Hop hornbeam,11.7,N,AS,Sub-canopy,Healthy,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,6,C,N,Hop hornbeam,11.9,N,AS,Intermediate,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
2018,6/11/2018,Ash,4,7,C,N,Eastern hemlock,18.8,N,AL,Co-dominant,HWA/EHS,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,7,C,N,Eastern hemlock,18.8,N,AL,Co-dominant,HWA/EHS,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/11/2018,Ash,4,8,D,N,Eastern hemlock,28.7,N,AS,Co-dominant,HWA/EHS,NA,4,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,8,D,N,Eastern hemlock,29.3,N,AS,Dominant,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/11/2018,Ash,4,9,D,N,Yellow birch,13.0,N,AS,Intermediate,Healthy,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/16/2022,Ash,4,9,D,N,Yellow birch,13.8,N,AS,Intermediate,Healthy,NA,NA,NA,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/13/2018,Hemlock,5,1,A,N,Eastern hemlock,21.0,N,AS,Intermediate,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/21/2022,Hemlock,5,1,A,N,Eastern hemlock,21.9,N,AS,Intermediate,HWA/EHS,NA,2,NA,Leaf loss,1-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/13/2018,Hemlock,5,2,A,N,Eastern hemlock,36.1,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,Holes,10-50,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/21/2022,Hemlock,5,2,A,N,Eastern hemlock,36.7,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/13/2018,Hemlock,5,3,A,N,Chestnut oak,31.3,N,AS,Dominant,Healthy,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/21/2022,Hemlock,5,3,A,N,Chestnut oak,31.5,N,AS,Dominant,Cankers/Wounds,NA,NA,NA,Holes,1-10,1-10,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/13/2018,Hemlock,5,4,A,N,Red maple,28.5,N,AS,Co-dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/21/2022,Hemlock,5,4,A,N,Red maple,29.0,N,AS,Dominant,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/13/2018,Hemlock,5,5,A,N,American beech,12.3,N,AS,Intermediate,Healthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2022,6/21/2022,Hemlock,5,5,A,N,American beech,12.9,N,AS,Intermediate,Cankers/Wounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2018,6/13/2018,Hemlock,5,6,B,N,Red maple,33.3,N,DS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2022,6/21/2022,Hemlock,5,6,B,N,Eastern hemlock,NA,NA,DF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
2018,6/13/2018,Hemlock,5,7,C,N,Eastern hemlock,31.4,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2022,6/21/2022,Hemlock,5,7,C,N,Eastern hemlock,31.9,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2018,6/13/2018,Hemlock,5,8,C,N,Red oak,61.5,N,AS,Dominant,Insect damage,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/21/2022,Hemlock,5,8,C,N,Black oak,62.9,Y,AS,Dominant,Large dead branches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2018,6/13/2018,Hemlock,5,9,C,N,Eastern hemlock,24.0,N,AS,Intermediate,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2022,6/21/2022,Hemlock,5,9,C,N,Eastern hemlock,24.5,N,AS,Intermediate,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2018,6/13/2018,Hemlock,5,10,D,N,Eastern hemlock,16.4,N,DL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/21/2022,Hemlock,5,10,D,N,Eastern hemlock,17.2,N,DS,NA,NA,NA,NA,NA,Necrosis,10-50,90-100,NA,NA,NA,NA,NA,NA,NA,NA
2018,6/13/2018,Hemlock,5,11,D,N,Red maple,44.0,N,AS,Dominant,Healthy,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/21/2022,Hemlock,5,11,D,N,Red maple,44.2,N,AS,Dominant,Burl/Gall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2018,6/13/2018,Hemlock,5,12,D,N,Eastern hemlock,20.7,N,AS,Sub-canopy,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/21/2022,Hemlock,5,12,D,N,Eastern hemlock,20.8,N,AS,Intermediate,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
2018,6/13/2018,Hemlock,5,13,D,N,Eastern hemlock,28.9,N,AS,Co-dominant,HWA/EHS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
2022,6/21/2022,Hemlock,5,13,D,N,Eastern hemlock,28.6,N,AS,Co-dominant,HWA/EHS,4,NA,NA,Leaf loss,50-90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,6/21/2022,Hemlock,5,14,NA,N,Eastern hemlock,10.2,N,RS,Intermediate,HWA/EHS,NA,NA,NA,Holes,1-10,10-50,Necrosis,1-10,10-50,NA,NA,NA,NA,NA
